['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
1,2011-11/5,2011-11/5,2,True,2011-11/5,2,2011-11/5,Develop
207,2011-11/27,2011-11/27,15,True,2011-11/27,2,2011-11/27,Portals pull request
1,2012-2/7,2012-2/7,1,True,2012-2/7,2,2012-2/7,Fixed broken link in README file
1096,2012-2/18,2012-2/18,346,False,,3,2012-2/18,Main menu
30,2012-2/18,2012-2/18,0,True,2012-2/18,2,2012-2/18,Added Eclipse-specific content to .gitignore. Added a very rough doc tas...
891,2012-2/19,2012-2/19,456,True,2012-2/19,3,2012-2/19,Implementing unit tests for Inventory
670,2012-2/22,2012-2/22,250,False,,0,2012-2/22,ENH: Updated config handling
670,2012-2/22,2012-2/22,250,False,,1,2012-2/22,ENH: Updated config handling
149,2012-3/25,2012-2/25,568,True,2012-3/25,2,2012-2/25,Replaces gant build system with gradle.
344,2012-2/26,2012-2/26,673,False,,1,2012-2/26,Fixes config handling
1,2012-2/26,2012-2/26,1,True,2012-2/26,1,2012-2/26,Fixes fullscreen on windows (Issue #154)
47,2012-2/26,2012-2/26,0,True,2012-2/26,1,2012-2/26,ENH take screenshots in game mode - Fixes Issue #147
20,2012-2/26,2012-2/26,1,True,2012-2/26,1,2012-2/26,Added poor mans wireframe rendering - Temporary fix for #149
143,2012-2/26,2012-2/26,209,False,,0,2012-2/26,refactored Terasology class
1329,2012-2/26,2012-2/26,202,True,2012-2/26,1,2012-2/26,refactored Terasology class
1329,2012-2/26,2012-2/26,203,True,2012-2/26,1,2012-2/26,refactored Terasology class
0,2012-2/27,2012-2/27,494,True,2012-2/27,1,2012-2/27,removes conflict file
0,2012-2/27,2012-2/27,692,True,2012-2/27,1,2012-2/27,removes more conflict files
55,2012-2/27,2012-2/27,45,True,2012-2/27,1,2012-2/27,refactores statics out of terasology class
2746,2012-3/28,2012-2/28,128,True,2012-3/28,3,2012-2/28,Audio development
468,2012-3/1,2012-3/1,1023,True,2012-3/1,2,2012-3/1,Develop - Block Manifestor cleanup + some console commands
46,2012-3/3,2012-3/3,20,True,2012-3/3,2,2012-3/3,Implemented audio source culling
6286,2012-3/3,2012-3/3,272,True,2012-3/3,1,2012-3/3,Refactores config to use protobuf for serialization (human readable debug output)
123,2012-3/3,2012-3/3,0,True,2012-3/3,1,2012-3/3,ads railgun tool! ENJOY :D
9,2012-3/4,2012-3/4,1,True,2012-3/4,1,2012-3/4,Standard ole fix of Kai and applet functionality :D
29,2012-3/8,2012-3/8,6,True,2012-3/8,2,2012-3/8,Added additional diagnostics logging for OpenAL audio manager
19,2012-3/9,2012-3/9,22,True,2012-3/9,2,2012-3/9,Moved sound code into different namespace - it should have more sense.
1,2012-3/10,2012-3/10,2,True,2012-3/10,2,2012-3/10,Removed usage of Sun proprietary API
28,2012-3/11,2012-3/11,24,True,2012-3/11,2,2012-3/11,Screnshot generation moved to worker thread
602,2012-3/14,2012-3/14,525,False,,0,2012-3/14,Updated chunk caching
587,2012-3/14,2012-3/14,510,True,2012-3/14,1,2012-3/14,Updated chunk caching
9,2012-3/17,2012-3/17,14,True,2012-3/17,2,2012-3/17,Fixed system native libraries have priority over bundled libraries
36045,2012-4/10,2012-4/10,11258,False,,2,2012-4/10,"Add new ui elements: UIList with scrollbars, UIInput. Add GUI styles. Add GUI manager for Main Menu state"
7249,2012-4/10,2012-4/10,4690,True,2012-4/10,2,2012-4/10,"Add new ui elements: UIList with scrollbars, UIInput. Add GUI styles. Add GUI manager for Main Menu state"
128,2012-5/12,2012-5/12,36,True,2012-5/12,2,2012-5/12,Miniions
1183,2012-5/23,2012-5/23,1027,False,,2,2012-5/23,Pull Request - Cleanup
1182,2012-5/25,2012-5/25,1027,True,2012-5/25,2,2012-5/25,Cleaned Up Unused Imports & Some Formatting
5276,2012-6/8,2012-6/8,1688,True,2012-6/8,4,2012-6/8,Input updates
5,2012-6/9,2012-6/9,1,True,2012-6/9,2,2012-6/9,Fixing setupForAZERTY
10517,2012-6/19,2012-6/19,5686,True,2012-6/19,2,2012-6/19,World Refactor ready for pull
1,2012-7/15,2012-7/15,1,True,2012-7/15,2,2012-7/15,Initial commit. I Just fixed a simple typo.
6,2012-7/24,2012-7/24,6,True,2012-7/24,2,2012-7/24,Switch to gradle version 1.0
518,2012-7/26,2012-7/26,78,True,2012-7/26,3,2012-7/26,Flat world
675,2012-7/26,2012-7/26,8,False,,3,2012-7/26,Develop
242,2012-7/28,2012-7/28,0,True,2012-7/28,2,2012-7/28,Added UI slider element
1638,2012-7/29,2012-7/29,702,True,2012-7/29,2,2012-7/29,Updated settings menu.
156,2012-8/30,2012-7/30,506,True,2012-8/30,5,2012-7/30,Added chunk generator selection to create world screen.
90,2012-7/31,2012-7/31,15,True,2012-7/31,3,2012-7/31,Add progress bar to loading screen
0,2012-8/1,2012-8/1,0,True,2012-8/1,1,2012-8/1,fix progres bar  colors
39,2012-8/1,2012-8/1,25,True,2012-8/1,2,2012-8/1,Flat world: Bugfix Exception
282,2012-8/2,2012-8/2,40,True,2012-8/2,1,2012-8/2,Added ComboBox in UIDialogCreateNewWorld
338,2012-8/2,2012-8/2,333,True,2012-8/2,2,2012-8/2,Integrated chunk_generator.json into WorldManifest.json
18,2012-8/3,2012-8/3,6,True,2012-8/3,1,2012-8/3,Little fix for combobox
535,2012-8/3,2012-8/3,432,True,2012-8/3,2,2012-8/3,Added layout method to UI elements. Will handle layout settings at resizing.
618,2012-8/4,2012-8/4,205,True,2012-8/4,3,2012-8/4,Gradle improvments
2567,2012-8/5,2012-8/5,2240,True,2012-8/5,4,2012-8/5,GUI system uses an event-driven design now.
16508,2012-8/6,2012-8/6,2606,False,,3,2012-8/6,Combat Update
123,2012-8/8,2012-8/8,20,True,2012-8/8,4,2012-8/8,Automatically register all defined asset types
27,2012-8/8,2012-8/8,11,True,2012-8/8,2,2012-8/8,"Add ""back to menu"" button to the pause menu"
359,2012-8/9,2012-8/9,245,True,2012-8/9,2,2012-8/9,Some drag/drop inventory changes.
232,2012-8/9,2012-8/9,93,True,2012-8/9,2,2012-8/9,Gradle: Added new jar tasks and checks
322,2012-8/9,2012-8/9,291,True,2012-8/9,2,2012-8/9,Renamed a package. Cleaned up some code. Implemented inventory drag/drop...
112,2012-8/10,2012-8/10,7,False,,1,2012-8/10,add droping for blocks
112,2012-8/10,2012-8/10,3,True,2012-8/10,2,2012-8/10,added dropping for blocks
618,2012-8/10,2012-8/10,274,True,2012-8/10,2,2012-8/10,Inventory drag/drop update.
4798,2012-8/11,2012-8/11,3974,True,2012-8/11,4,2012-8/11,Added some checkstyle rules and correct errors
47,2012-8/11,2012-8/11,31,True,2012-8/11,2,2012-8/11,Reworked perfTest / ChunkCachePerformanceTest
2005,2012-8/12,2012-8/12,1804,True,2012-8/12,3,2012-8/12,Integrated GUIManager into the entity event system. Inventory update.
1355,2012-8/14,2012-8/14,0,True,2012-8/14,2,2012-8/14,"Cat and Pony models, without texture..."
198,2012-8/16,2012-8/16,238,True,2012-8/16,2,2012-8/16,Updated GUIManager (Window focus will be handled in a different way)
18,2012-8/16,2012-8/16,1,True,2012-8/16,3,2012-8/16,gradle: createVersionInfoFile
6,2012-8/18,2012-8/18,1,True,2012-8/18,2,2012-8/18,Update src/main/java/org/terasology/logic/manager/GroovyManager.java
2644,2012-8/20,2012-8/20,3050,True,2012-8/20,1,2012-8/20,Gui
112,2012-8/25,2012-8/25,27,True,2012-8/25,3,2012-8/25,"Gradle, perfTest, Checkstyle"
2160,2012-8/26,2012-8/26,1504,True,2012-8/26,4,2012-8/26,Gui
36,2012-8/30,2012-8/30,18,True,2012-8/30,2,2012-8/30,Update src/main/java/org/terasology/logic/manager/PostProcessingRenderer...
123,2012-8/30,2012-8/30,165,False,,1,2012-8/30,Fixing Checkstyle warinings
20,2012-8/30,2012-8/30,40,True,2012-8/30,2,2012-8/30,Update src/test/java/org/terasology/math/Region3iTest.java
48,2012-9/30,2012-8/30,18,False,,2,2012-8/30,Update src/main/java/org/terasology/math/AABB.java
138,2012-9/30,2012-8/30,184,False,,4,2012-8/30,Checkstyle fixes 2
138,2012-9/30,2012-8/30,184,False,,2,2012-8/30,Fixing Checkstyle warinings
