"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Add fully qualified name (module:name) for biomes","2018-7/5","2018-7/5","2018-7/5",True,"2018-7/5",4,1,1
"Refactor of selection screens","2018-7/5","2018-7/5","2018-7/5",True,"2018-7/5",5,271,2079
"Small fix of margin on game details screen","2018-7/6","2018-7/6","2018-7/6",True,"2018-7/6",4,1,1
"Scrollable area refactor","2018-7/6","2018-7/6","2018-7/6",True,"2018-7/6",3,248,75
"Highlight active tab buttons","2018-7/6","2018-7/6","2018-7/6",True,"2018-7/6",3,22,2
"Expand API whitelist with ZIP and more IO-related classes","2018-7/6","2018-7/6","2018-7/6",True,"2018-7/6",3,27,8
"Terra bullet (gdx native)","2018-7/8","2020-5/8","2018-7/8",False,"null",5,745,663
"Fix the issue with ALL UISliders","2018-7/8","2018-7/8","2018-7/8",True,"2018-7/8",3,1,1
"Remove old useless attributes from ui files","2018-7/13","2018-7/13","2018-7/13",True,"2018-7/13",3,0,3
"Replay Tests: Test support for Record & Replay","2018-7/16","2018-7/16","2018-7/16",False,"null",2,428,3
"Replay Test: Test support for Record & Replay","2018-7/16","2018-7/16","2018-7/16",False,"null",3,8,3
"Polymorphic Gson","2018-7/17","2018-7/17","2018-7/17",True,"2018-7/17",3,306,13
"Module details screen","2018-7/19","2018-7/19","2018-7/19",True,"2018-7/19",3,981,49
"Record & Replay Refactor","2018-7/20","2018-7/20","2018-7/20",True,"2018-7/20",3,366,529
"Switched ""getDelta()"" to ""getDeltaMs()"" in the ServerCharacterPredictionSystem.","2018-7/20","2018-7/20","2018-7/20",True,"2018-7/20",3,1,1
"Support for Replay Tests and small refactor","2018-7/23","2018-7/23","2018-7/23",True,"2018-7/23",3,21,18
"TypeHandlerFactory","2018-7/23","2018-7/23","2018-7/23",True,"2018-7/23",4,1160,230
"Deprecate LegacyGsonTypeHandlerAdapter","2018-7/23","2018-7/23","2018-7/23",True,"2018-7/23",3,18,16
"Tweak advanced game setup screen + small improvements","2018-7/24","2018-7/24","2018-7/24",True,"2018-7/24",4,77,33
"Collection serialization improvements","2018-7/24","2018-7/24","2018-7/24",True,"2018-7/24",4,1577,852
"Add categories to module details screen","2018-7/24","2018-7/24","2018-7/24",True,"2018-7/24",4,21,7
"Game Name + Spawning World Issue + UniverseConfig [WIP]","2018-7/25","2018-8/25","2018-7/25",True,"2018-8/25",3,105,9
"[Defect] Not always all modules are available for filtering","2018-7/25","2018-7/25","2018-7/25",True,"2018-7/25",4,8,6
"Additional TypeHandlers","2018-7/26","2018-9/26","2018-7/26",False,"null",4,904,167
"Improvements for UIImageSlideshow widget","2018-7/26","2018-7/26","2018-7/26",True,"2018-7/26",4,163,78
"Updating Record and Replay to make it possible to record other module's BindButtonEvents","2018-7/26","2018-8/26","2018-7/26",True,"2018-8/26",3,27,12
"Type handling (serialization) improvements","2018-7/26","2018-9/26","2018-7/26",True,"2018-9/26",4,2313,1053
"Hot fix for UIImageSlideshow","2018-7/30","2018-7/30","2018-7/30",True,"2018-7/30",5,6,2
"Creation of a LoadProcess for Record and Replay","2018-7/30","2018-8/30","2018-7/30",True,"2018-8/30",3,125,43
"Save screenshots regularly","2018-7/31","2018-8/31","2018-7/31",False,"null",3,545,180
"Clean up UI classes & Save screenshots regularly","2018-8/1","2018-8/1","2018-8/1",True,"2018-8/1",4,1295,839
"Gradle support for JNLua and its natives","2018-8/3","2018-8/3","2018-8/3",True,"2018-8/3",4,16,3
"Improvements to the Record and Replay classes' JavaDoc","2018-8/3","2018-8/3","2018-8/3",True,"2018-8/3",3,64,11
"Fix seed world-name mis-match error","2018-8/4","2018-8/4","2018-8/4",True,"2018-8/4",3,15,15
"Reduce memory allocations","2018-8/8","2018-8/8","2018-8/8",True,"2018-8/8",5,36,21
"Change InventoryScreen.class so movingItem not lost on exit","2018-8/10","2019-10/10","2018-8/10",False,"null",5,256,0
"Fix liquid rendering","2018-8/31","2018-10/31","2018-8/31",True,"2018-10/31",3,118,64
"Add new run configuration for Java FlightRecorder","2018-9/4","2018-9/4","2018-9/4",True,"2018-9/4",4,32,0
"Add custom per-block data fields","2018-9/5","2018-9/5","2018-9/5",True,"2018-9/5",6,4079,1558
"Add rendering enums as API","2018-9/6","2018-9/6","2018-9/6",True,"2018-9/6",3,5,0
"Make water-waves actually vertical","2018-9/7","2018-9/7","2018-9/7",True,"2018-9/7",3,1,1
"Animated tiles","2018-9/9","2019-4/9","2018-9/9",True,"2019-4/9",5,145,146
"Translate load screen status messages","2018-9/19","2018-9/19","2018-9/19",True,"2018-9/19",3,40,14
