"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Fix rabbitmq start","2017-1/5","2017-3/5","2017-1/5",False,"null",2,112,58
"Reduce datastore debug logging","2017-1/6","2017-1/6","2017-1/6",True,"2017-1/6",3,8,44
"Use load balancers","2017-1/6","2017-1/6","2017-1/6",True,"2017-1/6",3,183,232
"Don't write to ZK unchanged state","2017-1/7","2017-1/7","2017-1/7",True,"2017-1/7",4,19,3
"Better haproxy reload","2017-1/9","2017-1/9","2017-1/9",True,"2017-1/9",3,95,72
"Obtain entity group lock during commit","2017-1/13","2017-1/13","2017-1/13",True,"2017-1/13",3,776,228
"Cache queue index results","2017-1/13","2017-1/13","2017-1/13",True,"2017-1/13",3,81,2
"Increase max Celery concurrency and memory","2017-1/17","2017-1/17","2017-1/17",True,"2017-1/17",4,7,6
"Restart flower only when using set_property","2017-1/19","2017-1/19","2017-1/19",True,"2017-1/19",3,9,4
"Handle Java chunk size parameter","2017-1/19","2017-1/19","2017-1/19",True,"2017-1/19",3,7,11
"Update Go support to 1.6","2017-1/19","2017-1/19","2017-1/19",True,"2017-1/19",3,283,1090259
"Pin wstools to 0.4.3 for the dashboard","2017-1/19","2017-1/19","2017-1/19",True,"2017-1/19",3,1,0
"Dashboard uses different mins","2017-1/20","2017-1/20","2017-1/20",True,"2017-1/20",3,38,13
"FastGeert LogServer","2017-1/23","2017-1/23","2017-1/23",True,"2017-1/23",5,919,579
"Addressing comments","2017-1/24","2017-1/24","2017-1/24",True,"2017-1/24",3,9,6
"Fix search IPs","2017-1/24","2017-1/24","2017-1/24",True,"2017-1/24",4,41,21
"Put /usr/local/bin first on the PATH","2017-1/24","2017-1/24","2017-1/24",True,"2017-1/24",3,1,1
"Use the correct array to create the search server list","2017-1/24","2017-1/24","2017-1/24",False,"null",1,1,1
"Catch HTTP errors when executing push tasks","2017-1/25","2017-1/25","2017-1/25",True,"2017-1/25",4,34,17
"Implement inequality check for Queue objects","2017-1/26","2017-1/26","2017-1/26",True,"2017-1/26",4,10,9
"Taskqueue on own node","2017-1/26","2017-1/26","2017-1/26",True,"2017-1/26",3,15,20
"Use non-blocking seed source for Java AppServer","2017-1/28","2017-1/28","2017-1/28",True,"2017-1/28",2,1,0
"Autoscale in batches","2017-1/29","2017-1/29","2017-1/29",True,"2017-1/29",3,101,105
"Don't check for file system changes","2017-1/30","2017-1/30","2017-1/30",True,"2017-1/30",3,2,1
"Terminate runs on head node","2017-1/30","2017-2/30","2017-1/30",True,"2017-2/30",5,142,0
"Copy app from hoster fix","2017-1/31","2017-2/31","2017-1/31",True,"2017-2/31",3,102,274
"Partial implementation of ModuleService in AppServer_Java","2017-1/31","2017-3/31","2017-1/31",False,"null",2,175,0
"Added support for Host header in Task","2017-1/31","2018-10/31","2017-1/31",False,"null",3,10,1
"Disable TLS v1 and enable TLSv1.1,TLSv1.2 for java7","2017-1/31","2018-6/31","2017-1/31",False,"null",3,88,0
"Remove repetitive log from AC","2017-1/31","2017-1/31","2017-1/31",True,"2017-1/31",3,0,1
"Use HelperFunctions.scp to copy app tarball","2017-2/2","2017-2/2","2017-2/2",True,"2017-2/2",3,104,82
"Scale in a thread","2017-2/2","2017-2/2","2017-2/2",True,"2017-2/2",3,153,163
"Fix identifying search ip as an array instead of string","2017-2/2","2017-2/2","2017-2/2",True,"2017-2/2",3,1,1
"Ensure groups have a defined namespace","2017-2/2","2017-2/2","2017-2/2",True,"2017-2/2",4,4,0
"Retry LWT statements when dealing with large batches","2017-2/3","2017-2/3","2017-2/3",True,"2017-2/3",3,360,184
"Consider user props with the same email as equal","2017-2/3","2017-2/3","2017-2/3",True,"2017-2/3",3,4,0
"Remove repetitive logs printout","2017-2/3","2017-2/3","2017-2/3",True,"2017-2/3",3,41,15
"Change backoff seconds to correct type","2017-2/3","2017-2/3","2017-2/3",True,"2017-2/3",3,2,2
"Start multiple TaskQueue servers per node","2017-2/7","2017-2/7","2017-2/7",True,"2017-2/7",3,85,29
"Limit LogServer log retention","2017-2/7","2017-2/7","2017-2/7",True,"2017-2/7",5,1,1
"Don't retry delete entry from zookeeper","2017-2/7","2017-2/7","2017-2/7",True,"2017-2/7",3,10,11
"Don't start an extra AppServer to reach min","2017-2/8","2017-2/8","2017-2/8",True,"2017-2/8",3,1,1
"Remove extra if my_node.role?","2017-2/8","2017-2/8","2017-2/8",True,"2017-2/8",3,4,7
"Reload old ips sooner","2017-2/8","2017-2/8","2017-2/8",True,"2017-2/8",3,16,20
"More checks for set parameters","2017-2/10","2017-2/10","2017-2/10",True,"2017-2/10",3,91,56
"Fix invalid method reference","2017-2/10","2017-2/10","2017-2/10",True,"2017-2/10",3,2,2
"Modify the monit stop script for taskqueue to account for ports.","2017-2/11","2017-2/11","2017-2/11",True,"2017-2/11",4,1,1
"Log time elapsed for each TaskQueue server request","2017-2/11","2017-2/11","2017-2/11",True,"2017-2/11",3,11,2
"Tune monit to allow Celery memory based on #workers","2017-2/11","2017-2/11","2017-2/11",True,"2017-2/11",4,4,1
"Log elapsed time for a successful celery task","2017-2/11","2017-2/11","2017-2/11",True,"2017-2/11",3,6,2
