"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"#1408 Reference Spring Instrument as a potential startup exception fix","2015-6/30","2015-6/30","2015-6/30",True,"2015-6/30",1,5,3
"Fixes BroadleafCommerce/QA#691","2015-6/30","2015-6/30","2015-6/30",True,"2015-6/30",2,16,4
"nullable property on primaryPhone","2015-6/30","2015-6/30","2015-6/30",False,"null",4,45,31
"Fixes 1483 - Ensure that fullName is populated on the address from a paymentrequest","2015-7/1","2015-7/1","2015-7/1",True,"2015-7/1",2,48,85
"1485 - Ensure that startIndex and maxIndex are not sent as FilterAndSortCriteria during admin pagination","2015-7/1","2015-7/1","2015-7/1",True,"2015-7/1",2,7,2
"Fix to allow parent category search facets to be used by children categories.","2015-7/2","2015-7/2","2015-7/2",True,"2015-7/2",2,4,4
"Allow main entity list view search to work with an inline list grid.","2015-7/2","2015-7/2","2015-7/2",True,"2015-7/2",1,5,0
"When removing a resource, also delete any locale cached versions of the file","2015-7/2","2015-7/2","2015-7/2",True,"2015-7/2",1,33,2
"Always cleanup any SystemTime thread local values at the end of the request lifecycle","2015-7/2","2015-7/2","2015-7/2",True,"2015-7/2",1,3,1
"additions to SearchFacetGrid fields, and ""order"" member to Filter&Sort and FilterMappings ","2015-7/2","2015-7/2","2015-7/2",False,"null",1,405,205
"additions to SearchFacetGrid fields, and ""order"" member to Filter&Sort and FilterMappings","2015-7/3","2015-7/3","2015-7/3",False,"null",3,405,205
"Make the catalog name translatable","2015-7/6","2015-7/6","2015-7/6",False,"null",1,26,22
"Make the catalog name translatable","2015-7/6","2015-7/6","2015-7/6",True,"2015-7/6",2,26,22
"Added ""has details"" concept to ListGridRecordIcon to denote icons with a more detailed message","2015-7/7","2015-7/7","2015-7/7",False,"null",3,48,19
"Better handling of order field in FilterMapping","2015-7/7","2015-7/7","2015-7/7",True,"2015-7/7",3,420,230
"Added ""has details"" concept to ListGridRecordIcon to denote icons with a more detailed message","2015-7/7","2015-8/7","2015-7/7",False,"null",2,17,2
"Make the `requiredFlag` field visible by default in admin application.","2015-7/10","2015-7/10","2015-7/10",True,"2015-7/10",3,2,1
"Overlapping metadata overrides by entity now allowed","2015-7/10","2015-7/10","2015-7/10",True,"2015-7/10",4,209,34
"Qa 717 widget master data","2015-7/13","2015-7/13","2015-7/13",True,"2015-7/13",2,105,47
"Framework changes to allow dynamic search facets","2015-7/14","2015-7/14","2015-7/14",True,"2015-7/14",3,43,6
"Add extension functionality to modify the URL paths for a StaticAsset","2015-7/15","2015-7/15","2015-7/15",True,"2015-7/15",2,37,13
"Provide mechanism to skip validation for MVEL strings in FieldData","2015-7/17","2015-7/17","2015-7/17",True,"2015-7/17",2,55,21
"Add ability to remove the primary media from a Product.","2015-7/17","2015-7/17","2015-7/17",False,"null",2,32,3
"If an exception was thrown in a workflow rollback handler, it is not possible to see what the exception was","2015-7/17","2015-7/17","2015-7/17",True,"2015-7/17",2,2,2
"BroadleafCommerce/QA#763 - Added a link to demosite from admin login form","2015-7/20","2015-7/20","2015-7/20",False,"null",2,8,3
"multitenant site defaults","2015-7/20","2015-7/20","2015-7/20",False,"null",1,191,5
"Use the `StaticAssetPathService` to properly resolve images","2015-7/20","2015-7/20","2015-7/20",False,"null",4,72,2
"Reworked the check for masterFieldGroup method","2015-7/21","2015-7/21","2015-7/21",True,"2015-7/21",2,5,1
"Creates a DirectCopyTransformer version that conditionally executes based on a Spring property","2015-7/21","2015-7/21","2015-7/21",True,"2015-7/21",2,87,0
"QA#764 - Add property to not return the default value for a translated field if that value is not in the same language.","2015-7/22","2015-7/22","2015-7/22",True,"2015-7/22",3,89,0
"Removed unused property in BroadleafAdminLdapUserDetailsMapper","2015-7/22","2015-8/22","2015-7/22",False,"null",2,0,3
"Include placeholder template to add a link from the admin login page","2015-7/23","2015-7/23","2015-7/23",True,"2015-7/23",2,20,1
"Prevent loss of modal form data by way of errant clicks ","2015-7/23","2015-7/23","2015-7/23",False,"null",3,14,7
"UpdateExecutor can create a parameterized query with an IN clause that has no params, causing a SQLException","2015-7/23","2015-7/23","2015-7/23",True,"2015-7/23",1,3,0
"Check for a changed BigDecimal value fails due to handling of numerical scale","2015-7/24","2015-7/24","2015-7/24",True,"2015-7/24",2,8,1
"use of a new extension manager for site defaults.","2015-7/27","2015-7/27","2015-7/27",False,"null",1,191,5
"Failed to Lookup another Page Template in page","2015-8/3","2020-1/3","2015-8/3",False,"null",4,5,4
"Missing parent's pages from ajax dynamicform call ","2015-8/3","2020-1/3","2015-8/3",False,"null",4,68,0
"Persist the invalidation of Order Payment","2015-9/10","2015-9/10","2015-9/10",True,"2015-9/10",2,1,0
"Fix ability to edit Product Options","2015-9/25","2015-9/25","2015-9/25",True,"2015-9/25",2,29,24
