"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"GH-3027: Decouple RotationPolicy","2019-8/15","2019-8/15","2019-8/15",True,"2019-8/15",3,109,131
"GH-3027: Rotator enhancements 5.1.x","2019-8/15","2019-8/15","2019-8/15",True,"2019-8/15",3,15,6
"GH-3017: Expose cancel-idle-interval XML attribute","2019-8/15","2019-8/15","2019-8/15",False,"null",2,62,29
"GH-3035: Include INT_ prefix into PK constraints","2019-8/19","2019-8/19","2019-8/19",True,"2019-8/19",2,47,47
"GH-3024 Move Error Handling Docs to the top level","2019-8/19","2019-8/19","2019-8/19",True,"2019-8/19",2,80,79
"GH-3010 Add idleBetweenTries for JdbcLockRegistry","2019-8/19","2019-8/19","2019-8/19",True,"2019-8/19",2,30,10
"GH-2890: Document a bridge for subflow starts","2019-8/21","2019-8/21","2019-8/21",False,"null",2,19,1
"Fix Typo in Flow Validation","2019-8/22","2019-8/22","2019-8/22",True,"2019-8/22",2,1,1
"GH-3043: Add FileHeaders.REMOTE_HOST header","2019-8/23","2019-8/23","2019-8/23",True,"2019-8/23",2,605,297
"Improve ImapIdleChannelAdapter","2019-8/28","2019-8/28","2019-8/28",True,"2019-8/28",2,59,77
"GH-3038: Delegate more RemoteFileTempalte options","2019-8/28","2019-8/28","2019-8/28",True,"2019-8/28",2,327,30
"GH-3041: Deprecate RedisUtils.isUnlinkAvailable()","2019-8/30","2019-8/30","2019-8/30",False,"null",2,38,15
"GH-3047: Add method and args headers into gateway","2019-8/30","2019-9/30","2019-8/30",True,"2019-9/30",3,548,115
"GH-3052: Fix custom converters for lambdas","2019-9/13","2019-9/13","2019-9/13",True,"2019-9/13",2,109,27
"Upgrade dependencies","2019-9/18","2019-9/18","2019-9/18",True,"2019-9/18",2,173,181
"GH-3056: Add Micrometer Metrics to Runtime Graph","2019-9/19","2019-9/19","2019-9/19",True,"2019-9/19",2,652,90
"Add failure counter to AbstractMessageSource","2019-9/20","2019-9/20","2019-9/20",True,"2019-9/20",2,49,16
"Document RSocket support","2019-9/20","2019-9/20","2019-9/20",False,"null",3,380,154
"Initial Kotlin DSL","2019-9/23","2019-9/23","2019-9/23",False,"null",2,168,6
"Upgrade to Jackson 2.10","2019-9/24","2019-9/24","2019-9/24",True,"2019-9/24",2,42,19
"GH-3062: Polishing","2019-9/24","2019-9/24","2019-9/24",True,"2019-9/24",2,26,8
"Hide `toReactivePublisher()` from lambdas","2019-9/26","2019-9/26","2019-9/26",True,"2019-9/26",2,53,25
"Add Reactive Stream chapter into docs","2019-9/27","2019-9/27","2019-9/27",False,"null",2,367,22
"GH-3067: Use default NullChannel instance if poss.","2019-9/27","2019-9/27","2019-9/27",True,"2019-9/27",2,88,43
"Deprecate `IntFlows.from(service, methodName)`","2019-9/30","2019-10/30","2019-9/30",True,"2019-10/30",2,28,7
"GH-3072: j.u.f.Suppliers for inbound queries","2019-10/4","2019-10/4","2019-10/4",False,"null",2,151,28
"GH-3072: Allow JDBC inbound query changes","2019-10/4","2019-10/4","2019-10/4",True,"2019-10/4",2,15,6
"Refinement for gateway Mono processing","2019-10/5","2019-10/5","2019-10/5",True,"2019-10/5",2,224,259
"GH-3076: Add file existence check","2019-10/11","2019-10/11","2019-10/11",True,"2019-10/11",2,77,1
"GH-3026: (S)FTPMessageHandler chmod functionality","2019-10/15","2019-10/15","2019-10/15",False,"null",3,66,7
"GH-3079: Use getMostSpecificMethod for SpEL calls","2019-10/15","2019-10/15","2019-10/15",True,"2019-10/15",2,16,4
"GH-3083: Support @Header with dotted literals","2019-10/16","2019-10/16","2019-10/16",True,"2019-10/16",3,16,6
"Ensure that dynamic routes are included into graph","2019-10/16","2019-10/16","2019-10/16",True,"2019-10/16",2,41,13
"Extract `BaseIntegrationFlowDefinition`","2019-10/22","2019-10/22","2019-10/22",True,"2019-10/22",2,3700,2775
"Give access to AmqpOutboundEndpoint.RabbitTemplate","2019-10/23","2019-10/23","2019-10/23",True,"2019-10/23",2,2,2
"GH-3089: Add AmqpInGateway.replyHeadersMappedLast","2019-10/28","2019-10/28","2019-10/28",True,"2019-10/28",2,263,103
"Introduce `IntegrationPattern` abstraction","2019-10/30","2019-12/30","2019-10/30",False,"null",3,661,108
"GH-3090: Add `logout() to `FtpSession.close()`","2019-10/30","2019-10/30","2019-10/30",True,"2019-10/30",2,57,41
"Improve RSocket support","2019-11/1","2019-11/1","2019-11/1",True,"2019-11/1",2,249,109
