"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Fix javadoc in DependencyDescriptor","2020-2/19","2020-2/19","2020-2/19",True,"2020-2/19",3,1,1
"Correct Ant-style Patterns example in documentation","2020-2/19","2020-2/19","2020-2/19",True,"2020-2/19",3,3,3
"Simplify code in spring-test by using Collections.addAll","2020-2/19","2020-2/19","2020-2/19",True,"2020-2/19",4,6,8
"Update section on HTTP/2 in WebFlux documentation","2020-2/20","2020-2/20","2020-2/20",False,"null",3,0,3
"Fix typos in tests","2020-2/22","2020-2/22","2020-2/22",True,"2020-2/22",3,9,9
"Issue #23262 - remove obsolete documentation of ""autowire"" property","2020-2/22","2020-2/22","2020-2/22",False,"null",4,10,18
"Issue #24291 - Merge transactional attributes","2020-2/22","null","2020-2/22",False,"null",3,156,39
"fix missing backtick typo","2020-2/23","2020-2/23","2020-2/23",False,"null",3,1,1
"#23262 remove obsolete documentation of ""autowire"" property for @Bean","2020-2/23","2020-2/23","2020-2/23",False,"null",3,1,9
"Document enhancement in core-beans.adoc","2020-2/23","2020-2/23","2020-2/23",False,"null",3,1,1
"Turn off useSuffixPatternMatching by default","2020-2/23","2020-5/23","2020-2/23",False,"null",4,32,33
"Remove unnecessary semicolon in some enum classes","2020-2/24","2020-2/24","2020-2/24",True,"2020-2/24",3,10,10
"Fix formatting in webflux-webclient.adoc","2020-2/24","2020-2/24","2020-2/24",True,"2020-2/24",3,1,1
"BlockHoundIntegration for spring-core","2020-2/24","2020-2/24","2020-2/24",True,"2020-2/24",1,162,1
"Improve documentation for @Autowired/@Value in @Configuration classes","2020-2/24","2020-2/24","2020-2/24",True,"2020-2/24",3,3,2
"Simplify some redundant code","2020-2/25","2020-2/25","2020-2/25",True,"2020-2/25",4,9,19
"Polish some String equals()","2020-2/25","2020-2/25","2020-2/25",False,"null",4,37,37
"Polish code by using matches() method in HttpMethod","2020-2/25","2020-3/25","2020-2/25",False,"null",3,14,12
"Fix URL to Spring Tools for Eclipse","2020-2/25","2020-3/25","2020-2/25",False,"null",3,5,6
"Support wildcards in @PropertySource","2020-2/25","2020-6/25","2020-2/25",False,"null",4,60,2
"UnknownHttpStatusCodeException is missing the response body ","2020-2/25","2020-3/25","2020-2/25",False,"null",4,40,11
"Fix typo in reference manual","2020-2/26","2020-2/26","2020-2/26",True,"2020-2/26",3,2,2
"Test HttpMethod class","2020-2/26","2020-2/26","2020-2/26",False,"null",3,75,0
"Add support for explicit generic type in PayloadApplicationEvent","2020-2/26","2021-12/26","2020-2/26",False,"null",5,57,2
"Update core-aop.adoc","2020-2/26","2020-2/26","2020-2/26",False,"null",3,1,1
"Fix typo in URI Encoding section of reference docs","2020-2/26","2020-2/26","2020-2/26",False,"null",3,4,4
"Update README.md","2020-2/27","2020-2/27","2020-2/27",False,"null",1,1,0
"Fix typo in WebClient.Builder Javadoc","2020-2/28","2020-2/28","2020-2/28",True,"2020-2/28",3,1,1
"Release version 5.1.0.RELEASE","2020-2/29","2020-2/29","2020-2/29",False,"null",5,1,1
