"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']","['paticipants']","['additions']","['deletions']"
"Otp2 dagger part 2","2022-7/25","2022-7/25","2022-7/25",True,"2022-7/25",5,955,851
"Allow turning off block-based interlining","2022-7/25","2022-7/25","2022-7/25",True,"2022-7/25",5,22,8
"Move StopIndexForRaptor implementation to StopModelIndex","2022-7/25","2022-7/25","2022-7/25",True,"2022-7/25",4,225,340
"Fix RAPTOR metrics reporting","2022-7/25","2022-7/25","2022-7/25",True,"2022-7/25",4,12,6
"Otp2 make otp server context req scoped","2022-7/25","2022-7/25","2022-7/25",True,"2022-7/25",4,474,286
"Add walkOnStreetReluctance request parameter","2022-7/26","2022-7/26","2022-7/26",False,"null",1,32,7
"Add speed test data set for Baden-Württemberg","2022-7/26","2022-7/26","2022-7/26",True,"2022-7/26",4,1150,40
"Improve logging of GBFS parsing errors","2022-7/26","2022-7/26","2022-7/26",True,"2022-7/26",4,6,1
"Migrate FlexStopLocation and FlexLocationGroup entities to new transit model","2022-7/26","2022-7/26","2022-7/26",True,"2022-7/26",4,500,158
"Move access of TransitModel to TransitService for all APIs","2022-7/27","2022-7/27","2022-7/27",True,"2022-7/27",4,563,735
"Remove parsing of GBFS timezones","2022-7/27","2022-7/27","2022-7/27",True,"2022-7/27",4,12,14
"Remove duplicate stop index from Graph","2022-7/27","2022-7/27","2022-7/27",True,"2022-7/27",4,103,221
"Take nullable transit alert dates into account","2022-7/27","2022-7/27","2022-7/27",True,"2022-7/27",3,11,2
"Encapsulate TransitService","2022-7/27","2022-7/27","2022-7/27",True,"2022-7/27",4,185,249
"Use way-properties for the Portland test graph","2022-7/27","2022-7/27","2022-7/27",True,"2022-7/27",3,437,626
"Use java.time classes in StopTimesHelper","2022-7/27","2022-8/27","2022-7/27",True,"2022-8/27",4,507,349
"Dependency Injection for graph, transit model and graph builder","2022-7/27","2022-8/27","2022-7/27",True,"2022-8/27",4,1209,773
"Car mode Leg splitting related fixes","2022-7/28","2022-7/28","2022-7/28",True,"2022-7/28",5,865,65
"Explicitly pass feedId to SiriFuzzyTripMatcher instead of guessing","2022-7/28","2022-7/28","2022-7/28",True,"2022-7/28",3,20,64
"Migrate remaining transit entities to new model","2022-7/28","2022-7/28","2022-7/28",True,"2022-7/28",4,1008,657
"Convert StopCollections to TransitEntity2","2022-7/28","2022-7/28","2022-7/28",True,"2022-7/28",4,595,235
"Convert Pathways to TransitEntity2","2022-7/28","2022-7/28","2022-7/28",True,"2022-7/28",4,373,151
"Add walk safety to way property sets and walkSafetyFactor routing parameter","2022-7/28","2022-8/28","2022-7/28",True,"2022-8/28",5,1044,1181
