"['title']","['createdAt']","['closedAt']","['publishedAt']","['merged']","['mergedAt']"
"Use menu registry for global activity actions","2019-6","2019-6","2019-6",True,"2019-6"
"Open file and folder commands in web companion","2019-6","2019-6","2019-6",False,"null"
"Joh/fix74925","2019-6","2019-6","2019-6",True,"2019-6"
"update distro for release","2019-6","2019-6","2019-6",True,"2019-6"
"Add syntax highlighting for .gitmodules","2019-6","2019-6","2019-6",True,"2019-6"
"Fix for issue #35245","2019-6","2019-6","2019-6",True,"2019-6"
"browser keybinding service","2019-6","2019-6","2019-6",True,"2019-6"
"Sync languages provided by Typescript plugins","2019-6","2019-6","2019-6",True,"2019-6"
"Update warning colors to pass color contrast ratio","2019-6","2019-6","2019-6",True,"2019-6"
"Mark events as readonly in VS Code api","2019-6","2019-6","2019-6",True,"2019-6"
"Allow terminal to be launched with a clean environment on Mac and Linux","2019-6","2019-6","2019-6",True,"2019-6"
"Use MutableDisposable for managing editorStatus items","2019-6","2019-6","2019-6",True,"2019-6"
"Recommend users install EditorConfig extension","2019-6","2019-6","2019-6",True,"2019-6"
"Simplify incrementFileName","2019-6","2019-6","2019-6",True,"2019-6"
"Implement API to get default shell","2019-6","2019-6","2019-6",True,"2019-6"
"Evaluate links based on process manager OS, not host platform","2019-6","2019-6","2019-6",True,"2019-6"
"Don't use heap service for signature help","2019-6","2019-6","2019-6",True,"2019-6"
"Fix LANG env var for Czech","2019-6","2019-6","2019-6",True,"2019-6"
"Iframe based webview prototype","2019-6","2019-6","2019-6",True,"2019-6"
"Handle multiple users with /tmp/vscode-typescript","2019-6","2019-6","2019-6",True,"2019-6"
"Fix some typos in comment","2019-6","2019-6","2019-6",True,"2019-6"
"Makes status zoom button a IStatusbarEntry #74454","2019-6","2019-6","2019-6",True,"2019-6"
"Task for web","2019-6","2019-6","2019-6",True,"2019-6"
"don't specify ignorecase when calling isEquals and isEqualOrParent","2019-6","2019-7","2019-6",True,"2019-7"
"Bring debugger into the web","2019-6","2019-6","2019-6",False,"null"
"Support Windows on web","2019-6","2019-6","2019-6",True,"2019-6"
